title,description,author_name,timestamp,url,guid,tags,domains,mpeg_file,title_image,abstract,torrent,producer,disseminator,copyright,duration,channel
Weatherview,"Detailed weather forecast.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jphd,urn:bbc-bbcone-b010jphd,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jphd,http://www.bbc.co.uk/iplayer/images/progbrand/b007yy70_150_84.jpg,"Detailed weather forecast.",,BBC,BBC,"Copyright 2011 BBC",PT0H5M0S,"BBC One London"
"MasterChef Series 7, Episode 5","The remaining contestants must prepare a hearty lunch at the Invercharron Highland Games.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00z7p1k,urn:bbc-bbcone-b00z7p1k,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00z7p1k,http://www.bbc.co.uk/iplayer/images/series/b00ysr3t_150_84.jpg,"The remaining contestants must prepare a hearty lunch at the Invercharron Highland Games.",,BBC,BBC,"Copyright 2011 BBC",PT1H0M0S,"BBC One London"
"Holby City Series 13, Boy Valentine, Girl Valentine","Ollie is forced to confront his secret, but at what cost? Jac makes some tough decisions.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010fflv,urn:bbc-bbcone-b010fflv,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010fflv,http://www.bbc.co.uk/iplayer/images/series/b00vj0qp_150_84.jpg,"Ollie is forced to confront his secret, but at what cost? Jac makes some tough decisions.",,BBC,BBC,"Copyright 2011 BBC",PT1H0M0S,"BBC One London"
"Men of Rock The Big Freeze","The story of Louis Agassiz, who first proposed that the earth had experienced an ice age.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00wvjnq,urn:bbc-bbcone-b00wvjnq,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00wvjnq,http://www.bbc.co.uk/iplayer/images/series/b00wkc1b_150_84.jpg,"The story of Louis Agassiz, who first proposed that the earth had experienced an ice age.",,BBC,BBC,"Copyright 2011 BBC",PT1H0M0S,"BBC One London"
"Joins BBC News","BBC One joins the BBC's rolling news channel for a night of news.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jprj,urn:bbc-bbcone-b010jprj,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jprj,http://www.bbc.co.uk/iplayer/images/progbrand/b00h9fxh_150_84.jpg,"BBC One joins the BBC's rolling news channel for a night of news.",,BBC,BBC,"Copyright 2011 BBC",PT1H35M0S,"BBC One London"
Breakfast,"The latest news, sport, business and weather from the BBC's Breakfast team.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jpt2,urn:bbc-bbcone-b010jpt2,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jpt2,http://www.bbc.co.uk/iplayer/images/progbrand/b006v5tb_150_84.jpg,"The latest news, sport, business and weather from the BBC's Breakfast team.",,BBC,BBC,"Copyright 2011 BBC",PT3H15M0S,"BBC One London"
"Animal 24:7 Series 7, Episode 16","It's baby season at Secret World in Devon.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010p4ss,urn:bbc-bbcone-b010p4ss,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010p4ss,http://www.bbc.co.uk/iplayer/images/series/b00vn01s_150_84.jpg,"It's baby season at Secret World in Devon.",,BBC,BBC,"Copyright 2011 BBC",PT0H45M0S,"BBC One London"
"Homes Under the Hammer Series 14, Episode 11","Martin Roberts and Lucy Alexander visit properties in Stoke, Kent and Nottinghamshire.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00s8rld,urn:bbc-bbcone-b00s8rld,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00s8rld,http://www.bbc.co.uk/iplayer/images/series/b00s36bp_150_84.jpg,"Martin Roberts and Lucy Alexander visit properties in Stoke, Kent and Nottinghamshire.",,BBC,BBC,"Copyright 2011 BBC",PT1H0M0S,"BBC One London"
"Filthy Rotten Scoundrels Episode 9","The 2012 Olympic site is hit by a shocking fly-tipping spree.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00ty5sd,urn:bbc-bbcone-b00ty5sd,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00ty5sd,http://www.bbc.co.uk/iplayer/images/series/b00tw4tk_150_84.jpg,"The 2012 Olympic site is hit by a shocking fly-tipping spree.",,BBC,BBC,"Copyright 2011 BBC",PT0H45M0S,"BBC One London"
"Cash in the Attic Series 18, Grimsted","Rita Grimsted is looking to raise 1,500 pounds to buy a new kitchen.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010p7vw,urn:bbc-bbcone-b010p7vw,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010p7vw,http://www.bbc.co.uk/iplayer/images/series/b010j3gr_150_84.jpg,"Rita Grimsted is looking to raise 1,500 pounds to buy a new kitchen.",,BBC,BBC,"Copyright 2011 BBC",PT0H30M0S,"BBC One London"
"Bargain Hunt Series 26, Lincoln","Expert Kate Bliss joins David Harper as the blondes and brunettes do battle in Lincoln.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00sh4rb,urn:bbc-bbcone-b00sh4rb,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b00sh4rb,http://www.bbc.co.uk/iplayer/images/series/b00sgc13_150_84.jpg,"Expert Kate Bliss joins David Harper as the blondes and brunettes do battle in Lincoln.",,BBC,BBC,"Copyright 2011 BBC",PT0H45M0S,"BBC One London"
"BBC News at One","National and international news stories from the BBC News team, followed by weather.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jpv3,urn:bbc-bbcone-b010jpv3,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010jpv3,http://www.bbc.co.uk/iplayer/images/progbrand/b007mpl9_150_84.jpg,"National and international news stories from the BBC News team, followed by weather.",,BBC,BBC,"Copyright 2011 BBC",PT0H30M0S,"BBC One London"
"BBC London News","The latest news, sport and weather from London.",BBC,1303131330,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010hclv,urn:bbc-bbcone-b010hclv,,,http://p2pnextfeed1-staging.rad0.net/v2/content/info/bbc/bbcone/b010hclv,http://www.bbc.co.uk/iplayer/images/progbrand/b006mj67_150_84.jpg,"The latest news, sport and weather from London.",,BBC,BBC,"Copyright 2011 BBC",PT0H15M0S,"BBC One London"
