"track_name","track_artist","album_artist","remix_artist_name","genre","isrc_code","music_credits","lyric_credits","other_credits","producer","engineer","release_id","track_id","release_date","album_title","publisher"
"Call To Prayer","Baaba Maal","Various Artists",,"World Music","GB-CPA-89-00816","Traditional arranged by Peter Gabriel",,"Double Violin: ShankarVoice: Baaba Maal","Peter Gabriel","David Bottrill","4","47","2000-06-13T00:00:00Z","Passion Sources","Real World Music Ltd"
"Ulvi","Kudsi Erguner","Various Artists",,"World Music","GB-CPA-89-00818","Kudsi Erguner",,,"Kudsi Erguner",,"4","49","2000-06-13T00:00:00Z","Passion Sources","WOMAD Music Ltd"
"Fallahi","Hossam Ramzy","Various Artists",,"World Music","GB-CPA-89-00819","Traditional",,"Tabla, Dufs, Doholla, Tambourine: Hossam RamzyMazhar: Joseph AlexanderTaken from the album \An Introduction to Egyptian Raqs Sharqi Rhythm\""  c/o Inspiration Ltd""","Hossam Ramzy",,"4","50","2000-06-13T00:00:00Z","Passion Sources","WOMAD Music Ltd"
"Tejbeit","Unknown Ethiopian Musicians","Various Artists",,"World Music","GB-CPA-89-00821","Traditional",,"Original track appeared on \Musique Ethiopiennes\"" Ocora Records OCR 75""","Peter Gabriel",,"4","52","2000-06-13T00:00:00Z","Passion Sources","Real World Music Ltd"
"Prelude In Tchahargah","Mahmoud Tabrizi Zadeh","Various Artists",,"World Music","GB-CPA-89-00822","Traditional",,,"Mahmoud Tabrizi Zadeh",,"4","53","2000-06-13T00:00:00Z","Passion Sources","Real World Music Ltd"
"Wedding Song","Unknown Moroccan Musicians","Various Artists",,"World Music","GB-CPA-89-00823","Traditional",,"Location recording by unknown musicians.  Additional percussion: Manu Katche & Hossam Ramzy","Peter Gabriel",,"4","54","2000-06-13T00:00:00Z","Passion Sources","Real World Music Ltd"
"Magdelene's House","Abdul Aziz El-Sayed","Various Artists",,"World Music","GB-CPA-89-00824","Abdul Aziz El-Sayed",,,"Peter Gabriel","David Bottrill","4","55","2000-06-13T00:00:00Z","Passion Sources","WOMAD Music Ltd"
"Yoky","Fatala","Various Artists",,"World Music","GB-CPA-89-00825","Trad arr by Yacouba (Bruno) Camara",,"Kongas, Gongoma: Yacouba (Bruno) CamaraDjemba: Arafan  ToureDjembe, Bolon: Aly CamaraDoum-doum, Gongoma: Amara SoumahSmall Percussion: Naby'Papus' CamaraKabine Camara, Tamar ","Peter Gabriel","David Bottrill","4","56","2000-06-13T00:00:00Z","Passion Sources","WOMAD Music Ltd"
"Song Of Complaint","Antranik Askarian & Khatchadour Khatchaturian","Various Artists",,"World Music","GB-CPA-89-00828","Traditional",,"Original version appeared on 'Armenie Music de Tradition Populaire' Ocora Records OCR 50","Robert Ataian & Peter Gabriel",,"4","59","2000-06-13T00:00:00Z","Passion Sources","Real World Music Ltd"
"Shamas-Ud-Doha, Badar-Ud-Doja (Edit)","Nusrat Fateh Ali Khan","Various Artists",,"World Music","GB-CPA-89-00815","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan","Tabla: Dildar HussainHarmonium and Voice: Farrukh Fateh Ali Khan Chorus: Asad Ali Khan, Atta Fareed, Ghulam Fareed, Mohammad MaskeenPupil Singer: Kaukab AliSenior Singer: Mujhid Mubarik Ali Khan","Mohammed Ayuub","David Bottrill","4","60","2000-06-13T00:00:00Z","Passion Sources","WOMAD Music Ltd"
"Allah, Mohammed, Char, Yaar","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01120","Traditional arranged by Nusrat Fateh Ali Khan and Party",,,"Mohammed Ayuub","David Bottrill","5","61","2000-06-13T00:00:00Z","Shahen-Shah","WOMAD Music Ltd"
"Kali Kali Zulfon Ke Phande Nah Dalo","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01121","Traditional arranged by Nusrat Fateh Ali Khan and Party",,,"Mohammed Ayuub","David Bottrill","5","62","2000-06-13T00:00:00Z","Shahen-Shah","WOMAD Music Ltd"
"Meri Ankhon Ko Bakhshee Hain Aansoo","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01122","Traditional arranged by Nusrat Fateh Ali Khan and Party",,,"Mohammed Ayuub","David Bottrill","5","63","2000-06-13T00:00:00Z","Shahen-Shah","WOMAD Music Ltd"
"Nit Khair Mansan Sohnia Main Teri","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01123","Traditional arranged by Nusrat Fateh Ali Khan and Party",,,"Mohammed Ayuub","David Bottrill","5","64","2000-06-13T00:00:00Z","Shahen-Shah","WOMAD Music Ltd"
"Kehna Ghalat Ghalat To Chhupana Sahi Sahi","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01124","Traditional arranged by Nusrat Fateh Ali Khan and Party",,,"Mohammed Ayuub","David Bottrill","5","65","2000-06-13T00:00:00Z","Shahen-Shah","WOMAD Music Ltd"
"Shamas-Ud-Doha, Badar-Ud-Doja","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01119","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan","Tabla: Dildar HussainHarmonium and Voice: Farrukh Fateh Ali Khan Chorus: Asad Ali Khan, Atta Fareed, Ghulam Fareed, Mohammad MaskeenPupil Singer: Kaukab AliSenior Singer: Mujhid Mubarik Ali Khan","Mohammed Ayuub","David Bottrill","5","2182","2000-06-13T00:00:00Z","Shahen-Shah","WOMAD Music Ltd"
"Nasikitika (I Regret)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00135","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill and Remmy Ongal","David Bottrill","8","91",,"Songs for the Poor Man","WOMAD Music Ltd"
"Karola (Carol)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00136","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill and Remmy Ongal","David Bottrill","8","92",,"Songs for the Poor Man","WOMAD Music Ltd"
"Kipenda Roho","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00137","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","93",,"Songs for the Poor Man","WOMAD Music Ltd"
"Sauti Ya Mnyonge (The Voice Of The Underdog)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00138","Bati Osenga ",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","94",,"Songs for the Poor Man","WOMAD Music Ltd"
"Kifo (Death)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00139","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","95",,"Songs for the Poor Man","WOMAD Music Ltd"
"Usingizi (Sleep)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00140","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","96",,"Songs for the Poor Man","WOMAD Music Ltd"
"Muziki Asili Yake Wapi","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00141","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","97",,"Songs for the Poor Man","WOMAD Music Ltd"
"Pamella","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00142","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","98",,"Songs for the Poor Man","WOMAD Music Ltd"
"Dole (OK)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00143","Written and arranged by Ayub Ogada.",,,"Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","99",,"Songs for the Poor Man","WOMAD Music Ltd"
"Mariam Wangu (My Own Mariam)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00144","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","100",,"Songs for the Poor Man","WOMAD Music Ltd"
"Raga Bageshri","K. Sridhar","K. Sridhar",,"World Music","GB-CPA-89-00907","Trad arr by K. Sridhar and K. Shivakumar",,,"Ann MacKeigan",,"9","101",,"Shringar","WOMAD Music Ltd"
"Raga Bhairavi","K Sridhar and K Shivakuma","K. Sridhar",,"World Music","GB-CPA-89-00908","Trad arr by K. Sridhar and K. Shivakumar",,,"K. Sridhar & K. Shivakumar",,"9","102",,"Shringar","WOMAD Music Ltd"
"Al Bahr Al Gharam Wasah (Love Is As Vast As A Rive","Musicians of the Nile","Musicians of the Nile",,"World Music","GB-CPA-07-00220","Yunis Al Hilali and Mohamed Murad",,"The Musicians of the Nile are:-Metqal Qenawi Metqal: rababahShamandi Tewfiq Metqal: epic singing & rababahMohamed Murad Medjali: rababahAlain Weber: rababahMustafah ?Abd Al Aziz: arghul and doholahHanafi Mohamed ?Ali: tablahMohamed Abu Haradji: mizmarRamadan ?Ata: mizmarMohamed Isma?il: mizmarDjad Al Rab Mahmud: tablah baladi","Les Musiciens du Nil","Michael Bosser","10","103",,"Luxor to Isna","WOMAD Music Ltd"
"Zahrafat Al Sa'id (Rejoicing In Upper Egypt)","Musicians of the Nile","Musicians of the Nile",,"World Music","GB-CPA-07-01196","Hanafi Mohamed 'Ali and Mustafah 'Abd Al 'Azizi",,"The Musicians of the Nile are:-Metqal Qenawi Metqal: rababahShamandi Tewfiq Metqal: epic singing & rababahMohamed Murad Medjali: rababahAlain Weber: rababahMustafah ?Abd Al Aziz: arghul and doholahHanafi Mohamed ?Ali: tablahMohamed Abu Haradji: mizmarRamadan ?Ata: mizmarMohamed Isma?il: mizmarDjad Al Rab Mahmud: tablah baladi","Les Musiciens du Nil","Michael Bosser","10","104",,"Luxor to Isna","WOMAD Music Ltd"
"Horse Steps","Musicians of the Nile","Musicians of the Nile",,"World Music","GB-CPA-07-00162",,,"The Musicians of the Nile are:-Metqal Qenawi Metqal: rababahShamandi Tewfiq Metqal: epic singing & rababahMohamed Murad Medjali: rababahAlain Weber: rababahMustafah ?Abd Al Aziz: arghul and doholahHanafi Mohamed ?Ali: tablahMohamed Abu Haradji: mizmarRamadan ?Ata: mizmarMohamed Isma?il: mizmarDjad Al Rab Mahmud: tablah baladi","Les Musiciens du Nil","Alain Weber","10","106",,"Luxor to Isna","WOMAD Music Ltd"
"Al Nahla Al 'Ali (The Tall Palm Tree)","Musicians of the Nile","Musicians of the Nile",,"World Music","GB-CPA-89-00827","Metqal Qenawi Metqal & Yunis Al Hilali",,"The Musicians of the Nile are:-Metqal Qenawi Metqal: rababahShamandi Tewfiq Metqal: epic singing & rababahMohamed Murad Medjali: rababahAlain Weber: rababahMustafah ?Abd Al Aziz: arghul and doholahHanafi Mohamed ?Ali: tablahMohamed Abu Haradji: mizmarRamadan ?Ata: mizmarMohamed Isma?il: mizmarDjad Al Rab Mahmud: tablah baladiThis track also appears on the Real World album Luxor To Isna.","Les Musiciens du Nil","David Bottrill","10","107",,"Luxor to Isna","WOMAD Music Ltd"
"Kol Elle Qalboh Ankawa (Everyone Has Had A Broken","Musicians of the Nile","Musicians of the Nile",,"World Music","GB-CPA-07-00055","Mustafah 'Abd Al 'Aziz",,"The Musicians of the Nile are:-Metqal Qenawi Metqal: rababahShamandi Tewfiq Metqal: epic singing & rababahMohamed Murad Medjali: rababahAlain Weber: rababahMustafah ?Abd Al Aziz: arghul and doholahHanafi Mohamed ?Ali: tablahMohamed Abu Haradji: mizmarRamadan ?Ata: mizmarMohamed Isma?il: mizmarDjad Al Rab Mahmud: tablah baladi","Les Musiciens du Nil","David Bottrill","10","108",,"Luxor to Isna","WOMAD Music Ltd"
"Al-Aqsur-Isna (From Luxor To Isna)","Musicians of the Nile","Musicians of the Nile",,"World Music","GB-CPA-07-00277",,,"The Musicians of the Nile are:-Metqal Qenawi Metqal: rababahShamandi Tewfiq Metqal: epic singing & rababahMohamed Murad Medjali: rababahAlain Weber: rababahMustafah ?Abd Al Aziz: arghul and doholahHanafi Mohamed ?Ali: tablahMohamed Abu Haradji: mizmarRamadan ?Ata: mizmarMohamed Isma?il: mizmarDjad Al Rab Mahmud: tablah baladi","Les Musiciens du Nil","Alain Weber","10","110",,"Luxor to Isna","WOMAD Music Ltd"
"Samukhela (The Nostalgic Man)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00272","Gimo Abdul Remane","Gimo Abdul Remane",,"Bruce Burron & Billy Bryans","Tod Cutler","12","125",,"Mama Mosambiki","WOMAD Music Ltd"
"Mwanuni (The Bird)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00179","Zena Bakar","Zena Bakar",,"Bruce Burron & Billy Bryans","Tod Cutler","12","126",,"Mama Mosambiki","WOMAD Music Ltd"
"Akatswela (Love Is So Bewildering)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00086","Zena Bakar","Zena Bakar",,"Bruce Burron & Billy Bryans","Tod Cutler","12","127",,"Mama Mosambiki","WOMAD Music Ltd"
"We Awaka (You Are Mine)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00136","Gimo Abdul Remane","Gimo Abdul Remane",,"Bruce Burron & Billy Bryans","Tod Cutler","12","128",,"Mama Mosambiki","WOMAD Music Ltd"
"Kihiyeny (Leave Me Alone)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00174","Zena Bakar","Zena Bakar",,"Bruce Burron & Billy Bryans","Tod Cutler","12","129",,"Mama Mosambiki","WOMAD Music Ltd"
"Nifungo (The Key Of The House)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00019","Gimo Abdul Remane","Gimo Abdul Remane",,"Bruce Burron & Billy Bryans","Tod Cutler","12","130",,"Mama Mosambiki","WOMAD Music Ltd"
"Oh Mama (Oh Mother!)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00315","Gimo Abdul Remane","Gimo Abdul Remane",,"Bruce Burron & Billy Bryans","Tod Cutler","12","131",,"Mama Mosambiki","WOMAD Music Ltd"
"Nuno Maalani (A Single Mother Of A Single Mother)","Eyuphuro","Eyuphuro",,"World Music","GB-CPA-07-00287","Zena Bakar","Zena Bakar",,"Bruce Burron & Billy Bryans","Tod Cutler","12","132",,"Mama Mosambiki","WOMAD Music Ltd"
"Kuna Kunguni / The Bedbugs Bite","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00569","written by Dr Hukwe Zawose, Michael Brook and Richard Evans",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","133",,"Assembly","Real World Music Ltd"
"Kuna Kunguni / The Bedbugs Bite","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00569","written by Dr Hukwe Zawose, Michael Brook and Richard Evans",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","133",,"Assembly","WOMAD Music Ltd"
"Ntambalize Lijenje / Pumpkin Life","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00570","written by Dr Hukwe Zawose, Michael Brook and Richard Evans",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","134",,"Assembly","Real World Music Ltd"
"Ntambalize Lijenje / Pumpkin Life","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00570","written by Dr Hukwe Zawose, Michael Brook and Richard Evans",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","134",,"Assembly","WOMAD Music Ltd"
"Chilumi Kigumu / Tricky Voices","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00571","written by Dr Hukwe Zawose and Michael Brook",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","135",,"Assembly","WOMAD Music Ltd"
"Haliko Chijende / Let's Walk","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00572","written by Dr Hukwe Zawose and Michael Brook",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","136",,"Assembly","WOMAD Music Ltd"
"Sina Raha / No Joy","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00573","written by Dr Hukwe Zawose and Michael Brook",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","137",,"Assembly","WOMAD Music Ltd"
"Mbeleje / Sweet Deceiver","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00574","written by Dr Hukwe Zawose and Michael Brook",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","138",,"Assembly","WOMAD Music Ltd"
"Chilumi Cha Kwetu / Voices From Home","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00575","written by Dr Hukwe Zawose, Michael Brook and Marie Daulne",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","139",,"Assembly","WOMAD Music Ltd"
"Awuno Mganga Ndeje / Cry Of The Bush Bird","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00576","written by Dr Hukwe Zawose and Michael Brook",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","140",,"Assembly","WOMAD Music Ltd"
"Songa Mbele / Moving On","Zawose & Brook","Hukwe Zawose",,"World Music","GB-CPA-01-00577","written by Dr Hukwe Zawose and Michael Brook",,,"Michael Brook, co-produced Richard Evans","Edel Griffith at Real World","13","141",,"Assembly","WOMAD Music Ltd"
"The Flight","Pina","Pina",,"Alternative","GB-CPA-01-00593","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","158",,"Quick Look","Real World Works Ltd"
"Cold Storm","Pina","Pina",,"Alternative","GB-CPA-01-00594","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","159",,"Quick Look","Real World Works Ltd"
"Josephine","Pina","Pina",,"Alternative","GB-CPA-01-00595","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","160",,"Quick Look","Real World Works Ltd"
"Bring Me A Biscuit","Pina","Pina",,"Alternative","GB-CPA-01-00596","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","161",,"Quick Look","Real World Works Ltd"
"The Lady","Pina","Pina",,"Alternative","GB-CPA-01-00597","All lyrics and music written by Pina Kollars",,,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","162",,"Quick Look","Real World Works Ltd"
"The Tower","Pina","Pina",,"Alternative","GB-CPA-01-00598","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","163",,"Quick Look","Real World Works Ltd"
"Debt Song","Pina","Pina",,"Alternative","GB-CPA-01-00599","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","164",,"Quick Look","Real World Works Ltd"
"I See The Blue","Pina","Pina",,"Alternative","GB-CPA-01-00600","Pina Kollars","Pina Kollars",,"Ben Findlay","Paul Grady, Claire Lewis, Marco Migliari","15","165",,"Quick Look","Real World Works Ltd"
"Redemption's Son","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00624","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Mike Napolitano","16","166",,"Redemption's Son","Real World Music Ltd"
"Honey And The Moon","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00631","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Tchad Blake and Roger Moutenot","16","167",,"Redemption's Son","Real World Music Ltd"
"You Could Be In Jail","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00626","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Mike Napolitano and Joseph Arthur","16","168",,"Redemption's Son","Real World Music Ltd"
"I Would Rather Hide","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00630","Written by Joseph Arthur",,,"Joseph Arthur","Mike Napolitano","16","169",,"Redemption's Son","Real World Music Ltd"
"Innocent World","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00633","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Ben Findlay","16","170",,"Redemption's Son","Real World Music Ltd"
"September Baby","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00625","Written by Joseph Arthur",,,"Joseph Arthur","Roger Moutenot","16","171",,"Redemption's Son","Real World Music Ltd"
"Nation Of Slaves","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00628","Written by Joseph Arthur",,,"Joseph Arthur","by Joseph Arthur and Roger Moutenot","16","172",,"Redemption's Son","Real World Music Ltd"
"Evidence","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00635","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Joseph Arthur and Mike Napolitano","16","173",,"Redemption's Son","Real World Music Ltd"
"Buy A Bag","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00627","Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Ben Findlay","16","174",,"Redemption's Son","Real World Music Ltd"
"Termite Song","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-01-00614","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Ben Findlay","16","175",,"Redemption's Son","Real World Music Ltd"
"Permission","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00623","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Mike Napolitano and Joseph Arthur","16","176",,"Redemption's Son","Real World Music Ltd"
"Favorite Girl (6:09)","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-99-00374","Joseph Arthur","Joseph Arthur",,"Joseph Arthur","Ben Findlay","16","177",,"Redemption's Son","Real World Music Ltd"
"You Are The Dark","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00634","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Joseph Arthur","16","178",,"Redemption's Son","Real World Music Ltd"
"In The Night","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-01-00617","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Roger Moutenot","16","179",,"Redemption's Son","Real World Music Ltd"
"Blue Lips","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00636","Written by Joseph Arthur",,,"Joseph Arthur and Ben Findlay","Mike Napolitano","16","180",,"Redemption's Son","Real World Music Ltd"
"You've Been Loved","Joseph Arthur","Joseph Arthur",,"Alternative","GB-CPA-02-00629","Written by Joseph Arthur",,,"Tchad Blake","Ben Findlay and Tchad Blake","16","181",,"Redemption's Son","Real World Music Ltd"
"Maqam-E-Navaa (Sufyana Musiqi)","Rahul Sharma","Rahul Sharma",,"World Music","GB-CPA-02-00909","Trad arr by Rahul Sharma",,,,"Maurizio Trevisan","18","195",,"Music of the Himalayas","WOMAD Music Ltd"
