"Label","Catalogue Number","Track","Artist","Remixer","Album/ep title","Release Date","ISRC Code","Publisher","Collection Society","Track number of album/ep"
"Third Ear Recordings","3ECD/LP-021","Sandy Rain","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400001","Show-on Music Publishing","GEMA",1
"Third Ear Recordings","3ECD/LP-021","I Don't Know Why","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400002","Show-on Music Publishing","GEMA",2
"Third Ear Recordings","3ECD/LP-021","50/50","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400003","Show-on Music Publishing","GEMA",3
"Third Ear Recordings","3ECD/LP-021","Opacity Omen","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400004","Show-on Music Publishing","GEMA",4
"Third Ear Recordings","3ECD/LP-021","Last Resolution","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400005","Show-on Music Publishing","GEMA",5
"Third Ear Recordings","3ECD/LP-021","Drizzle","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400006","Show-on Music Publishing","GEMA",6
"Third Ear Recordings","3ECD/LP-021","Silent Illusion","TREAD",,"TREAD 4","2005-05-16T00:00:00Z","GBGXG 0400007","Show-on Music Publishing","GEMA",7
"Third Ear Recordings","3ECD/LP-030","Amount Now Due (got ta feel it)",":Brownstudy",,"Tell Me More About Bubbles","2005-03-14T00:00:00Z","GBGXG 0400015","Red Dreaded Stepchild (ASCAP)","ASCAP",1
"Third Ear Recordings","3ECD/LP-030","Dancing For You (with dialogue and deity)",":Brownstudy",,"Tell Me More About Bubbles","2005-03-14T00:00:00Z","GBGXG 0400016","Red Dreaded Stepchild (ASCAP)","ASCAP",2
"Third Ear Recordings","3ECD/LP-030","Summertime  On Standby",":Brownstudy",,"Tell Me More About Bubbles","2005-03-14T00:00:00Z","GBGXG 0400017","Red Dreaded Stepchild (ASCAP)","ASCAP",3
"Third Ear Recordings","3ECD/LP-030","Balance",":Brownstudy",,"Tell Me More About Bubbles","2005-03-14T00:00:00Z","GBGXG 0400018","Red Dreaded Stepchild (ASCAP)","ASCAP",4
"Third Ear Recordings","3ECD/LP-030","All Aces (oh yeah)",":Brownstudy",,"Tell Me More About Bubbles","2005-03-14T00:00:00Z","GBGXG 0400019","Red Dreaded Stepchild (ASCAP)","ASCAP",5
"Third Ear Recordings","3ECD/LP-030","Cereal Numbing",":Brownstudy",,"Tell Me More About Bubbles","2005-03-14T00:00:00Z","GBGXG 0400020","Red Dreaded Stepchild (ASCAP)","ASCAP",6
"Third Ear Recordings","3ECD-032","Refraction","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400008","Copyright Control","JASRAC",1
"Third Ear Recordings","3ECD-032","Walk Through","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400009","Copyright Control","JASRAC",2
"Third Ear Recordings","3ECD-032","Pale Slope","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400010","Copyright Control","JASRAC",3
"Third Ear Recordings","3ECD-032","Cusp","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400011","Copyright Control","JASRAC",4
"Third Ear Recordings","3ECD-032","Middle A Speck","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400012","Copyright Control","JASRAC",5
"Third Ear Recordings","3ECD-032","Obscurity Flow","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400013","Copyright Control","JASRAC",6
"Third Ear Recordings","3ECD-032","Inside Trace","qodibop",,"Another Tone Form","2005-05-26T00:00:00Z","GBGXG 0400014","Copyright Control","JASRAC",7
"Third Ear Recordings","3EEP-033","Five Minutes, Today, Forever","Dennis deSantis",,"Five Minutes, Today, Forever ep","T00:00:00Z","GBGXG 0500025","Presspot Press (ASCAP)","MCPS",1
"Third Ear Recordings","3EEP-033","Five Minutes, Today, Forever","Dennis deSantis","Trevor Loveys","Five Minutes, Today, Forever ep","T00:00:00Z","GBGXG 0500031","Presspot Press (ASCAP)","MCPS",2
"Third Ear Recordings","3ECD-033","Five Minutes, Today, Forever","Dennis de Santis","Fabrice Lig","Five Minutes, Today, Forever ep","T00:00:00Z","GBGXG 0500032","Presspot Press (ASCAP)","MCPS",3
"Third Ear Recordings","3EEP-033","Five Minutes, Today, Forever","Dennis deSantis","Stewart Walker","Five Minutes, Today, Forever ep","T00:00:00Z","GBGXG 0500033","Presspot Press (ASCAP)","MCPS",4
"Third Ear Recordings","3ECD-034","Frozen","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400035","Copyright Control","GEMA",1
"Third Ear Recordings","3ECD-034","Human Race","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400036","Copyright Control","GEMA",2
"Third Ear Recordings","3ECD-034","Ocean","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400037","Copyright Control","GEMA",3
"Third Ear Recordings","3ECD-034","Drops Of Creation","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400038","Copyright Control","GEMA",4
"Third Ear Recordings","3ECD-034","Flower","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400039","Copyright Control","GEMA",5
"Third Ear Recordings","3ECD-034","Kisetsu no Iro","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400040","Copyright Control","GEMA",6
"Third Ear Recordings","3ECD-034","Rain","Yamauchi",,"Preferable Reality","2005-08-24T00:00:00Z","GBGXG 0400041","Copyright Control","GEMA",7
"Third Ear Recordings","3ECD/LP-036","The Parallel Power","Dennis deSantis",,"Five Minutes, Today, Forever","T00:00:00Z","GBGXG 0400021","Presspot Press (ASCAP)","MCPS",1
"Third Ear Recordings","3ECD/LP-036","Koro","Dennis deSantis",,"Five Minutes, Today, Forever","T00:00:00Z","GBGXG 0400022","Presspot Press (ASCAP)","MCPS",2
"Third Ear Recordings","3ECD/LP-036","Brahms","Dennis de Santis",,"Five Minutes, Today, Forever","T00:00:00Z","GBGXG 0400023","Presspot Press (ASCAP)","MCPS",3
"Third Ear Recordings","3ECD/LP-036","The Magdalene Laundries","Dennis deSantis",,"Five Minutes, Today, Forever","T00:00:00Z","GBGXG 0400024","Presspot Press (ASCAP)","MCPS",4
"Third Ear Recordings","3ECD/LP-036","Five Minutes, Today, Forever","Dennis deSantis",,"Five Minutes, Today, Forever","T00:00:00Z","GBGXG 0400025","Presspot Press (ASCAP)","MCPS",5
